pubID,topicQuery,typeQuery,tweet,tokens,hashtags,mentions,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1.20162E+18,tránsito,palabras clave,"@ClaraBrugadaM 
@Alc_Iztapalapa
@SSP_CDMX
@OVIALCDMX
HOLA

SEMAFORO SE ABRIO LA VENTANITA DEL FOCO ROJO Y LA GENTE NO ENTIEDE  QUE HAY ALTO 
SE LO OASA  Y HAY MUCHO TRAFICO CASI CHOCAN.
AV. GUELATAO Y BATALLÓN DE ZACAPUAXTLA. EJERCITO DE OTE. CP. 09230
GRACIAS","['holasemaforo', 'abrio', 'ventanito', 'foco', 'rojo', 'gente', 'entender', 'alto', 'casa', 'trafico', 'casi', 'chocar', 'av', 'guelatao', 'batallón', 'zacapuaxtla', 'ejercito', 'ote', 'cp', '09230gracias']",[],"['ClaraBrugadaM', 'Alc_Iztapalapa', 'SSP_CDMX', 'OVIALCDMX']",2,4,1,1.15155E+18,HER. ‘Deus meumque jus’,HER41457702,17/07/2019 11:33,0,86,560,02/12/2019 15:42,2019,12,2,15,42,7,Iztapalapa,-99.05679896,19.34916632
1.20201E+18,tránsito,palabras clave,"@Claudiashein Haga algo con los ""micros"" en toda la calzada Ermita Iztapalapa. En cada semáforo hacen base de hasta cinco minutos. Mucha contaminación y obvio tránsito.
En un tramo que se recorre en máximo 30 minutos, se hace hasta 50.","['hacer', 'micros', 'todo', 'calzada', 'ermita', 'iztapalapa', 'cada', 'semáforo', 'hacer', 'base', 'cinco', 'minuto', 'mucho', 'contaminación', 'obvio', 'tránsito', 'tramo', 'recorrer', 'máximo', '30', 'minuto', 'hacer', '50']",[],['Claudiashein'],0,0,0,84951515,Luis Daniel Zamora H,dracbrujo,24/10/2009 16:21,0,149,192,03/12/2019 17:40,2019,12,3,17,40,7,Iztapalapa,-99.05679896,19.34916632
1.20201E+18,tránsito,palabras clave,"Así el tráfico en Eje de Xola con Metrobús, saturados los carriles y generando más contaminación y vueltas inducidas a las calles laterales solo para poder dar vuelta
No queremos esto para Eje Cuauhtemoc!!
Mejor Trolebús con carril compartido ciclistas!! https://t.co/iwakfITeZx","['así', 'tráfico', 'eje', 'solo', 'metrobú', 'saturado', 'carril', 'generar', 'contaminación', 'vuelta', 'inducida', 'calle', 'lateral', 'solo', 'poder', 'dar', 'vuelta', 'querer', 'eje', 'cuauhtemoc', 'mejor', 'trolebús', 'carril', 'compartido', 'ciclista']",[],[],34,6,24,9.9072E+17,Andrés Guzmán,andresguzbj,29/04/2018 16:29,0,27430,3470,03/12/2019 17:44,2019,12,3,17,44,15,Cuauhtémoc,-99.14905576,19.43137343
1.20237E+18,tránsito,palabras clave,"@OVIALCDMX, @SSP_CDMX, Favor de enviar unidad de tránsito a infraccionar trailer bco pcas 75AB6P, violando el RT, aparcado en lugar prohibido con disco de tránsito 🚫 ""N/E Vehículos Pesado"", sobre Av. Los Ángeles N.68 entre Av. Sn Pablo y FFCC, Col. Nva. España, Azcapotzalco. https://t.co/qmqU44xbjh","['favor', 'enviar', 'unidad', 'tránsito', 'infracción', 'trailer', 'bco', 'poco', '75ab6p', 'violar', 'rt', 'aparcado', 'lugar', 'prohibido', 'disco', 'tránsito', 'vehículo', 'pesado', 'av', 'ángeles', '68', 'av', 'sn', 'pablo', 'ffcc', 'col', 'nva', 'españa', 'azcapotzalco']",[],"['OVIALCDMX', 'SSP_CDMX']",0,1,0,9.03098E+17,lxm2608,LXM2608,30/08/2017 21:30,0,22,129,04/12/2019 17:12,2019,12,4,17,12,2,Azcapotzalco,-99.18210694,19.48532861
1.20269E+18,tránsito,palabras clave,"@ClaraBrugadaM @Claudiashein @OVIALCDMX @CiroGomezL @Excelsior @revistaproceso @Alc_Iztapalapa son unos genios, hay poco tráfico, pues tomen para que allá mas tráfico y más contaminación, pongamos un tope enorme, alguien podrá explicar esto? https://t.co/KEuxbDjREi","['genio', 'tráfico', 'pues', 'tomar', 'allá', 'mas', 'tráfico', 'contaminación', 'poner', 'tope', 'enorme', 'alguien', 'poder', 'explicar']",[],"['ClaraBrugadaM', 'Claudiashein', 'OVIALCDMX', 'CiroGomezL', 'Excelsior', 'revistaproceso', 'Alc_Iztapalapa']",0,0,0,134853313,ro,fofin22,19/04/2010 10:49,0,25,209,05/12/2019 14:35,2019,12,5,14,35,7,Iztapalapa,-99.05679896,19.34916632
1.20272E+18,tránsito,palabras clave,"@andresguzbj @gemato2001 @isoyAlvaro @pagolamx @Bunnapau1978 Imagen de la esquina de Cuauhtémoc y Xola muy reveladora:

Donde hay Metrobús el tránsito estancado, estrangulado; autos y camiones quemando combustible, mayor contaminación y horrendo visualmente.

Donde ya no hay Metrobús termina el desastre, el desorden y el horror a los ojos. https://t.co/j3AXCSOiNz","['imagen', 'esquina', 'cuauhtemoc', 'solo', 'reveladoro', 'metrobús', 'tránsito', 'estancado', 'estrangular', 'auto', 'camión', 'quemar', 'combustible', 'mayor', 'contaminación', 'horrendo', 'visualmente', 'metrobús', 'terminar', 'desastre', 'desorden', 'horror', 'ojo']",[],"['andresguzbj', 'gemato2001', 'isoyAlvaro', 'pagolamx', 'Bunnapau1978']",4,3,2,250024665,J Cacer,Jcacer,10/02/2011 01:45,0,3307,4980,05/12/2019 16:38,2019,12,5,16,38,15,Cuauhtémoc,-99.14905576,19.43137343
1.20299E+18,tránsito,palabras clave,@C5Edomex @Maribel_CG17 @SS_Edomex Av. Bordo de xochiaca esquina Vicente Villada col.benito Juárez municipio de Nezahualcóyotl están contínuamente generan tráfico contaminación por su atención y pronta solución gracias,"['av', 'bordo', 'mochica', 'esquina', 'vicente', 'villana', 'col', 'benito', 'juarez', 'municipio', 'nezahualcóyotl', 'continuamente', 'generar', 'tráfico', 'contaminación', 'atención', 'pronto', 'solución', 'gracias']",[],"['C5Edomex', 'Maribel_CG17', 'SS_Edomex']",0,1,0,1.18166E+18,Rafael Ramírez Monroy,Rafael511112429,08/10/2019 13:58,0,34,91,06/12/2019 10:37,2019,12,6,10,37,14,Benito Juárez,-99.16113466,19.38064242
1.20317E+18,tránsito,palabras clave,"@LaSEMOVI @Claudiashein @lopezobrador_ La alcaldía @AzcapotzalcoMx decidió cerrar una de las avenidas más importantes de #Azcapotzalco para instalar vendedores ambulantes que antes se colocaban en otras vias. Esto implicará contaminación por tráfico y basura, inseguridad y desde","['alcaldía', 'decidir', 'cerrar', 'avenida', 'importante', 'instalar', 'vendedor', 'ambulante', 'colocar', 'via', 'implicar', 'contaminación', 'tráfico', 'basura', 'inseguridad']",['Azcapotzalco'],"['LaSEMOVI', 'Claudiashein', 'lopezobrador_', 'AzcapotzalcoMx']",1,1,0,22999086,Verónica Orihuela,mvov,05/03/2009 17:42,0,823,519,06/12/2019 22:40,2019,12,6,22,40,2,Azcapotzalco,-99.18210694,19.48532861
1.2035E+18,tránsito,palabras clave,"@luizalane76 @Alc_Iztapalapa @Alc_Iztapalapa solo a una mente enferma se le ocurriría poner topes en pleno periférico, aparte del tráfico que se hace, más contaminación y obvio accidentes.","['solo', 'mente', 'enfermo', 'ocurrir', 'poner', 'top', 'pleno', 'periférico', 'aparte', 'tráfico', 'hacer', 'contaminación', 'obvio', 'accidente']",[],"['luizalane76', 'Alc_Iztapalapa', 'Alc_Iztapalapa']",1,1,0,621674043,Marco Silva,silvazarza,28/06/2012 23:21,0,10,133,07/12/2019 20:12,2019,12,7,20,12,7,Iztapalapa,-99.05679896,19.34916632
1.2036E+18,tránsito,palabras clave,"@andreslajous @bibianabelsasso Seguro a este le ocurrió poner unos pinches topes en el periférico Oriente a la altura de la Colonia Vicente Guerrero...
De un día para otro ya hay 3 que generan tráfico, contaminación y accidentes.
Que pendejos!
@Alc_Iztapalapa 
#Iztapalapa","['seguro', 'ocurrir', 'poner', 'ponche', 'top', 'periférico', 'oriente', 'altura', 'colonia', 'vicente', 'guerrero', 'día', 'generar', 'tráfico', 'contaminación', 'accidente', 'sendero']",['Iztapalapa'],"['andreslajous', 'bibianabelsasso', 'Alc_Iztapalapa']",0,1,0,917289265,J.Antonio,JAntonioAlcaraz,31/10/2012 11:10,0,196,919,08/12/2019 02:51,2019,12,8,2,51,7,Iztapalapa,-99.05679896,19.34916632
