pubID,topicQuery,typeQuery,tweet,tokens,hashtags,mentions,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1333899011741323265,tránsito,palabras clave,"#ElDato #Enterate 

Un hombre fue #atropellado en la carretera federal a #Tepoztlán, a la altura de la calle Miguel Hidalgo y Morelos. Comienza a registrarse mucho tráfico. 
🚧 Maneje con precaución y extreme cuidado. https://t.co/ElZ1YQ0YU6","['hombre', 'carretera', 'federal', 'altura', 'calle', 'miguel', 'hidalgo', 'more él', 'comenzar', 'registrar él', 'tráfico', 'maneje', 'precaución', 'extremir', 'cuidado']","['ElDato', 'Enterate', 'atropellado', 'Tepoztlán']",[],0,0,0,753022150030856193,El Dato Noticias Morelos,eldatomx,2016-07-12 18:24:05,0,2196,645,2020-12-01 16:21:21,2020,12,01,16,21,16,Miguel Hidalgo,19.4280623649,-99.2045669144
1333961094101131266,pirotecnia,coordenadas,"@alfredodelmazo Buenas noches Lic. Del Mazo destituya al pres. mpal de polotitlan PQ hizo fiesta con conjunto y fuegos artificiales le mandé en tuiter a usted de la noticia,y no es la 1a vez que hace esto ese señor no entiende estamos en pandemia póngale un hasta aquí","['buena', 'noche', 'lic', 'mazo', 'destituir', 'pr', 'mal', 'polotitlar', 'pq', 'hacer', 'fiesta', 'conjunto', 'fuego', 'artificial', 'mandé', 'tuitear', 'usted', 'noticia', '1a', 'vez', 'hacer', 'señor', 'entender', 'pandemia', 'póngalar', 'aquí']",[],['alfredodelmazo'],0,0,0,729094090281750529,MACITA,macitachule,2016-05-07 17:42:31,0,12,197,2020-12-01 20:28:03,2020,12,01,20,28,3,Coyoacán,-99.2058092,19.2970107
1334203588583755776,tránsito,palabras clave,"@PROFEPA_Mx rescató a más de 16,000 animales exóticos del tráfico ilegal en dos domicilios de #Iztapalapa. 😤💔

Por eso es tan importante levantar la voz, #Denuncia 

📸 @el_pais https://t.co/MIgDJFk1oa","['rescatar', '16', '000', 'animal', 'exótico', 'tráfico', 'ilegal', 'dos', 'domicilio', 'tanto', 'importante', 'levantar', 'voz']","['Iztapalapa', 'Denuncia']","['PROFEPA_Mx', 'el_pais']",1,0,1,1009578799518842881,Soy Fanimal,SoyFanimal,2018-06-20 17:28:37,0,3090,503,2020-12-02 12:31:38,2020,12,02,12,31,7,Iztapalapa,19.3491663204,-99.0567989642
1334223879946924033,incendio,palabras clave,"¡Precaución! Debido a un #incendio en la colonia San Juan de Aragón, alcaldía Gustavo A. Madero, servicios de emergencia laboran en la zona.","['precaución', 'deber', 'colonia', 'san', 'juan', 'dragón', 'alcaldía', 'gustavo', 'madero', 'servicio', 'emergencio', 'laborar', 'zona']",['incendio'],[],3,1,0,40098528,Radio Tráfico Total,trafico889,2009-05-14 16:06:13,1,897208,69,2020-12-02 13:52:16,2020,12,02,13,52,5,Gustavo A. Madero,19.5040652077,-99.1158642087
1334381441967415296,incendio,palabras clave,"#Precaución 🚨🚒🚔 Servicios de emergencia trabajan por incendio en Viaducto Miguel Alemán y Av. Cuauhtémoc, colonia Roma Sur, @AlcCuauhtemocMx. #C5 #911CDMX https://t.co/4NBZx2WWry","['servicio', 'emergencio', 'trabajar', 'incendio', 'viaducto', 'miguel', 'alemán', 'av', 'cuauhtemoc', 'colonia', 'roma', 'sur']","['Precaución', 'C5', '911CDMX']",['AlcCuauhtemocMx'],59,1,10,195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,925861,763,2020-12-03 00:18:22,2020,12,03,00,18,15,Cuauhtémoc,19.4313734294,-99.1490557562
1334508968098590727,tránsito,palabras clave,"@XochimilcoAl así no se puede, obras con abusos a la población, pasando por alto el derecho al libre tránsito y secuestrando a las personas que no pueden entrar o salir de sus casas. #Xochimilco https://t.co/1D5zdSmNa4","['así', 'poder', 'obra', 'abuso', 'población', 'pasar', 'alto', 'derecho', 'libre', 'tránsito', 'secuestrar', 'persona', 'poder', 'entrar', 'salir', 'casa']",['Xochimilco'],['XochimilcoAl'],1,0,0,127083185,Xochimilkofi,xochimilkofi,2010-03-27 18:38:06,0,297,1097,2020-12-03 08:45:06,2020,12,03,08,45,13,Xochimilco,19.2451450458,-99.0903636045
1334592985867096064,incendio,palabras clave,"‼️ INCENDIO 🔥 Valparaíso 91 y Mimiahuapan Ote Col. Floresta COYOACÁN, precaución.","['incendio', 'valparaiso', '91', 'mimiahuapar', 'ote', 'col', 'floresta', 'coyoacán', 'precaución']",[],[],3,0,1,1154948184344539138,NR Comunicaciones,EnlacesNR,2019-07-26 20:54:39,0,22833,39,2020-12-03 14:18:58,2020,12,03,14,18,3,Coyoacán,19.3266672536,-99.1503763525
1334594731217723393,incendio,palabras clave,"‼️ INCENDIO 🔥 Valparaíso 91 y Mimiahuapan Ote Col. Floresta COYOACÁN, precaución.","['incendio', 'valparaiso', '91', 'mimiahuapar', 'ote', 'col', 'floresta', 'coyoacán', 'precaución']",[],[],36,0,2,2445330312,Raúl Gutiérrez,RaulGtzNR,2014-04-15 05:50:28,0,251895,105,2020-12-03 14:25:54,2020,12,03,14,25,3,Coyoacán,19.3266672536,-99.1503763525
1334607054380691463,incendio,palabras clave,"⚠️#Precaución 🚒@Bomberos_CDMX trabajan en atención a #Incendio de pastizal, en la colonia Unidad Habitacional Santa Cruz Meyehualco, @Alc_Iztapalapa.

#911CDMX #C5","['trabajar', 'atención', 'pastizal', 'colonia', 'unidad', 'habitacional', 'santa', 'cruz', 'meyehualco']","['Precaución', 'Incendio', '911CDMX', 'C5']","['Bomberos_CDMX', 'Alc_Iztapalapa']",15,0,0,195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,925865,763,2020-12-03 15:14:52,2020,12,03,15,14,7,Iztapalapa,19.3491663204,-99.0567989642
1334652922416803840,tránsito,coordenadas,"Es verdad que la señora se estacionó en lugar prohibido, no sé si no vió o que... Pero también es verdad que cuando se estacionó ahí estaba el oficial de @SSC_CDMX y tránsito y espero a que se bajará la señora para poner al parquímetro y a qué llegara el wey de la araña https://t.co/qXbqlUviZm","['verdad', 'señora', 'estacionar', 'lugar', 'prohibido', 'saber', 'si', 'ver', 'verdad', 'estacionar', 'ahí', 'oficial', 'tránsito', 'espero', 'bajar', 'señora', 'poner', 'parquímetro', 'llegar', 'wey', 'araña']",[],['SSC_CDMX'],0,2,0,3062233153,Hugo Sebastián,eccsebastian,2015-03-04 22:41:08,0,270,3150,2020-12-03 18:17:08,2020,12,03,18,17,4,Cuajimalpa de Morelos,-99.1919955,19.357102
