pubID,topicQuery,typeQuery,tweet,tokens,hashtags,mentions,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1145584714394132480,incendio,palabras clave,"⚠️#Precaución 🚨🚒 Servicios de emergencia laboran por incendio de vehículo sobre Santa María y Xólotl, Colonia Purísima Atlazolpa, @Alc_Iztapalapa #911CDMX #C5. https://t.co/04kwjGfNZV","['servicio', 'emergencia', 'laborar', 'incendio', 'vehículo', 'santa', 'maría', 'xólotl', 'colonia', 'purísima', 'atlazolpa']","['Precaución', '911CDMX', 'C5']",['Alc_Iztapalapa'],10,0,3,195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,926206,763,2019-07-01 01:47:34,2019,07,01,01,47,7,Iztapalapa,-99.0567989642,19.3491663204
1145588055753011200,incendio,palabras clave,"#Precaución |

Servicios de emergencia laboran por #incendio de vehículo sobre Santa María y Xólotl, Colonia Purísima Atlazolpa, @Alc_Iztapalapa @C5_CDMX https://t.co/OvbSgU6Qh5","['servicio', 'emergencia', 'laborar', 'vehículo', 'santa', 'maría', 'xólotl', 'colonia', 'purísima', 'atlazolpa']","['Precaución', 'incendio']","['Alc_Iztapalapa', 'C5_CDMX']",9,1,0,293063533,JORGE BECERRIL JB/8,MrElDiablo8,2011-05-04 12:00:15,1,172339,888,2019-07-01 02:00:51,2019,07,01,02,00,7,Iztapalapa,-99.0567989642,19.3491663204
1145675814551396352,tránsito,palabras clave,"⚠️Dos policías murieron esta mañana al chocar su patrulla de tránsito contra la base de un puente.⚠️ Uno de los oficiales quedó prensado, el otro salió proyectado. ‼️Ocurrió sobre Zaragoza y República Federal en #Iztapalapa. Mucha precaución amigos.‼️ https://t.co/w68fdD6Dqx","['dos', 'policía', 'morir', 'mañana', 'chocar', 'patrulla', 'tránsito', 'base', 'puente', 'oficial', 'quedar', 'prensado', 'salir', 'proyectado', 'ocurrir', 'zaragoza', 'república', 'federal', 'mucho', 'precaución', 'amigo']",['Iztapalapa'],[],70,12,37,472317541,Isidro Corro,isidrocorro,2012-01-23 14:39:39,0,158625,52,2019-07-01 07:49:34,2019,07,01,07,49,7,Iztapalapa,-99.0567989642,19.3491663204
1145755585524031489,tránsito,coordenadas,@OVIALCDMX @SSP_CDMX @UCS_GCDMX #quepocamadre baita otra vez estacionados en insurgentes 383 que está prohibido violando el reglamento de tránsito y vialidad manden gruas CUARTA TRANSFORMACIÓN DE LA SI IMPUNIDAD DE BAITA SI CORRUPCIÓN DE LA JEFA DE GOBIERNO DENUNCIAN https://t.co/BipnU7f50y,"['bafta', 'vez', 'estacionar', 'insurgente', '383', 'prohibido', 'violar', 'reglamento', 'tránsito', 'vialidad', 'manden', 'grutas', 'cuarto', 'transformación', 'si', 'impunidad', 'bafta', 'si', 'corrupción', 'jefo', 'gobierno', 'denunciar']",['quepocamadre'],"['OVIALCDMX', 'SSP_CDMX', 'UCS_GCDMX']",0,0,0,1022534991031488513,Rubén Pliego Rodríguez,RubnPliego1,2018-07-26 11:31:54,0,15,16,2019-07-01 13:06:33,2019,07,01,13,06,16,Miguel Hidalgo,-99.1843501,19.3998346
1145922338044727296,incendio,coordenadas,"Entre otras noticias:

La Bigorra, el pride, el vecino engañando a la esposa... Todo puede ser cortina de humo pa’ quien no se quiere informar. Buuut luego es mucho estrés lo que hace este señor y es más cúl hablar de Ventaneando y así. https://t.co/JHFEJdKr7q","['noticia', 'borrar', 'pride', 'vecino', 'engañar', 'esposa', 'poder', 'ser', 'cortina', 'humo', 'pa', 'querer', 'informar', 'buque', 'luego', 'estrés', 'hacer', 'señor', 'col', 'hablar', 'ventanear', 'así']",[],[],0,0,0,68074195,Andrea Vera,andreaverabau,2009-08-22 22:43:29,0,681,497,2019-07-02 00:09:10,2019,07,02,00,09,10,Álvaro Obregón,-99.1919955,19.357102
1146075908731801600,incendio,palabras clave,🔴#Precaución | Reportan fuerte incendio en casa de Tláhuac ➡️ https://t.co/ZfJJaqfKPe https://t.co/AWSZ4DRZIV,"['reportar', 'fuerte', 'incendio', 'casa', 'tláhuac']",['Precaución'],[],1,1,0,2826319492,elbigdatamx,ElBigDataMx,2014-10-12 16:11:53,0,40364,18479,2019-07-02 10:19:24,2019,07,02,10,19,11,Tláhuac,-99.0028216137,19.2769983772
1146078314538254337,pirotecnia,coordenadas,"Esperaría que con el gobierno austero que tenemos, no haya fuegos artificiales, ni amenidades, que solo contaminan, para el 15 de septiembre.
Ahorran centavos, y gastan millones. Que incongruentes. #4taTransformacion","['esperar', 'gobierno', 'austero', 'fuego', 'artificial', 'amenidad', 'solo', 'contaminar', '15', 'septiembre', 'ahorrar', 'centavo', 'gastar', 'millón', 'incongruent']",['4taTransformacion'],[],0,0,0,46485403,Luisa María,luisa_sag,2009-06-11 14:42:02,0,1430,596,2019-07-02 10:28:57,2019,07,02,10,28,10,Álvaro Obregón,-99.1919955,19.357102
1146079321003569152,incendio,palabras clave,🔴#Precaución Reportan fuerte incendio en casa de Tláhuac. https://t.co/8u59AyxzHD,"['reportar', 'fuerte', 'incendio', 'casa', 'tláhuac']",['Precaución'],[],3,0,1,23377748,Fuerza Informativa Azteca,AztecaNoticias,2009-03-08 18:35:31,1,824561,925,2019-07-02 10:32:57,2019,07,02,10,32,11,Tláhuac,-99.0028216137,19.2769983772
1146428458404200449,pirotecnia,coordenadas,"@kinoenbikini Ay nooo, ya ni yo en NYC Jajajajaja yo dije “ay, por mi cumple me trajeron fuegos artificiales en toda la ciudad pero llegaron tarde”","['ay', 'nodo', 'nyc', 'jajajajaja', 'decir', 'ay', 'cumple', 'traer', 'fuego', 'artificial', 'todo', 'ciudad', 'llegar', 'tarde']",[],['kinoenbikini'],0,0,0,32341869,Vaquerito Montaperros,miguelSGA,2009-04-17 01:39:39,0,382,646,2019-07-03 09:40:18,2019,07,03,09,40,16,Miguel Hidalgo,-99.1843501,19.3998346
1146441663583346688,tránsito,palabras clave,"@UCS_GCDMX, @SSP_CDMX, @Azcapotzalco_ , vehículos pesados estacionados en lugar prohibido con disco de tránsito ""N/E Vehículos De Carga Pesada"", violando el RT, en Av. Los Ángeles entre Av. Sn. Pablo y FFCC, Col. Nva España, favor de enviar unidad de tránsito para lo conducente.","['vehículo', 'pesado', 'estacionado', 'lugar', 'prohibido', 'disco', 'tránsito', 'vehículo', 'carga', 'pesado', 'violar', 'rt', 'av', 'ángeles', 'av', 'sn', 'pablo', 'ffcc', 'col', 'nva', 'españa', 'favor', 'enviar', 'unidad', 'tránsito', 'conducente']",[],"['UCS_GCDMX', 'SSP_CDMX', 'Azcapotzalco_']",0,1,0,907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144,2019-07-03 10:32:47,2019,07,03,10,32,2,Azcapotzalco,-99.1821069423,19.4853286147
